时间(h),节点,温度(°C),湿度(%RH),光照(lux),烟雾(ADC),电池(mV)
6.08,1,22.2,55.8,11,314,3823
6.10,1,22.4,54.5,0,298,3823
6.12,1,22.7,54.5,7,303,3823
6.13,1,22.3,54.8,15,325,3822
6.15,1,22.2,55.8,7,326,3822
6.17,1,22.0,57.4,18,335,3822
6.18,1,22.3,54.6,0,307,3822
6.20,1,22.0,55.3,0,309,3822
6.22,1,22.2,54.2,0,351,3821
6.23,1,22.2,54.9,8,341,3821
6.25,1,22.4,56.2,5,304,3821
6.27,1,22.3,54.5,0,305,3821
6.28,1,22.2,57.1,15,337,3821
6.30,1,22.4,55.7,0,321,3820
6.32,1,22.2,55.8,0,319,3820
6.33,1,22.4,55.1,0,331,3820
6.35,1,22.6,53.2,0,322,3820
6.37,1,22.4,56.1,1,340,3820
6.38,1,22.4,56.2,0,316,3819
6.40,1,22.4,54.2,1,320,3819
6.42,1,21.9,55.2,0,336,3819
6.43,1,22.4,54.9,0,311,3819
6.45,1,22.7,55.0,7,321,3818
6.47,1,22.6,56.0,1,308,3818
6.48,1,22.5,54.6,11,328,3818
6.50,1,22.9,55.4,4,298,3818
6.52,1,22.6,55.4,0,298,3818
6.53,1,22.3,56.0,9,333,3817
6.55,1,22.4,50.7,0,334,3817
6.57,1,22.6,55.1,5,304,3817
6.58,1,22.4,56.7,10,302,3817
6.60,1,22.5,54.8,0,314,3817
6.62,1,22.6,54.4,0,332,3816
6.63,1,22.6,54.2,0,304,3816
6.65,1,22.7,52.7,0,307,3816
6.67,1,22.7,54.3,3,324,3816
6.68,1,22.6,55.3,0,303,3816
6.70,1,22.7,54.2,0,357,3815
6.72,1,22.7,55.0,0,309,3815
6.73,1,22.6,53.6,0,320,3815
6.75,1,22.7,52.8,0,349,3815
6.77,1,22.7,55.8,8,336,3815
6.78,1,22.7,54.6,2,308,3814
6.80,1,22.6,51.9,0,294,3814
6.82,1,22.8,54.4,13,301,3814
6.83,1,22.8,54.8,7,311,3814
6.85,1,22.6,54.1,0,328,3813
6.87,1,22.7,54.1,3,308,3813
6.88,1,22.8,53.5,7,320,3813
6.90,1,22.9,55.3,3,321,3813
6.92,1,22.8,51.6,10,302,3812
6.93,1,22.7,56.6,3,328,3812
6.95,1,23.1,52.8,0,314,3812
6.97,1,22.5,54.5,13,337,3812
6.98,1,23.2,54.5,0,327,3812
7.00,1,22.9,53.3,0,314,3811
7.02,1,22.9,52.0,0,312,3811
7.03,1,23.0,53.3,9,303,3811
7.05,1,22.7,55.1,11,299,3811
7.07,1,22.8,54.6,8,333,3811
7.08,1,22.8,55.1,8,321,3810
7.10,1,22.8,53.5,25,316,3810
7.12,1,22.9,54.1,22,356,3810
7.13,1,22.7,55.2,13,275,3810
7.15,1,23.1,54.6,26,319,3810
7.17,1,22.8,53.2,29,299,3809
7.18,1,22.9,52.6,26,296,3809
7.20,1,23.2,51.7,26,329,3809
7.22,1,22.9,53.6,33,302,3809
7.23,1,23.1,53.9,23,321,3808
7.25,1,22.8,53.5,29,323,3808
7.27,1,22.9,53.8,21,326,3808
7.28,1,23.2,51.9,22,326,3808
7.30,1,23.1,52.3,42,297,3808
7.32,1,23.1,54.1,42,324,3807
7.33,1,22.9,51.6,51,327,3807
7.35,1,23.1,52.4,54,327,3807
7.37,1,23.2,53.8,50,327,3807
7.38,1,23.0,53.0,53,329,3807
7.40,1,23.2,51.7,41,315,3806
7.42,1,23.6,54.0,55,310,3806
7.43,1,23.0,51.7,46,304,3806
7.45,1,22.9,53.5,54,335,3806
7.47,1,23.2,51.2,73,316,3806
7.48,1,23.2,50.7,51,321,3805
7.50,1,23.3,51.6,61,307,3805
7.52,1,23.0,55.1,56,303,3805
7.53,1,23.0,51.2,64,300,3805
7.55,1,23.1,52.9,68,293,3805
7.57,1,23.3,52.2,59,299,3804
7.58,1,23.2,51.4,65,315,3804
7.60,1,23.4,53.2,71,296,3804
7.62,1,23.2,52.4,76,323,3804
7.63,1,23.1,50.0,71,310,3803
7.65,1,23.1,51.2,76,310,3803
7.67,1,23.2,51.3,79,309,3803
7.68,1,23.5,54.3,74,321,3803
7.70,1,23.3,53.2,83,339,3803
7.72,1,23.1,53.4,90,303,3802
7.73,1,23.4,54.5,77,315,3802
7.75,1,23.2,53.7,85,333,3802
7.77,1,23.5,51.4,90,310,3802
7.78,1,23.5,54.2,83,298,3802
7.80,1,23.3,53.0,93,322,3801
7.82,1,23.4,51.5,118,307,3801
7.83,1,23.3,50.2,92,333,3801
7.85,1,23.3,50.6,91,316,3801
7.87,1,23.3,53.4,104,289,3801
7.88,1,23.5,53.8,106,313,3800
7.90,1,23.3,53.2,109,315,3800
7.92,1,23.5,51.0,122,320,3800
7.93,1,23.6,51.9,114,310,3800
7.95,1,23.6,49.7,117,305,3800
7.97,1,23.5,52.6,128,333,3799
7.98,1,23.6,52.1,112,319,3799
8.00,1,23.5,51.2,112,294,3799
8.02,1,23.7,48.6,114,295,3799
8.03,1,23.1,53.5,134,316,3798
8.05,1,23.4,52.7,115,334,3798
8.07,1,23.5,51.9,115,325,3798
8.08,1,23.5,50.7,122,309,3798
8.10,1,23.4,52.8,129,311,3798
8.12,1,23.4,52.3,139,339,3797
8.13,1,23.5,52.0,133,334,3797
8.15,1,23.5,53.2,138,337,3797
8.17,1,23.5,50.9,122,301,3797
8.18,1,23.5,52.3,139,294,3797
8.20,1,23.4,51.8,144,350,3796
8.22,1,23.7,51.6,142,336,3796
8.23,1,23.8,52.0,153,301,3796
8.25,1,23.9,51.6,136,314,3796
8.27,1,23.3,49.4,151,316,3796
8.28,1,23.8,48.7,149,301,3795
8.30,1,23.7,50.9,142,350,3795
8.32,1,23.4,51.5,160,303,3795
8.33,1,23.6,49.8,152,330,3795
8.35,1,23.7,52.2,160,298,3795
8.37,1,23.8,49.4,159,312,3794
8.38,1,23.9,48.0,170,320,3794
8.40,1,23.9,53.2,155,317,3794
8.42,1,23.8,51.8,163,309,3794
8.43,1,23.7,50.8,159,317,3793
8.45,1,23.9,50.0,375,323,3793
8.47,1,23.7,50.9,189,320,3793
8.48,1,23.6,49.2,192,351,3793
8.50,1,23.8,51.4,182,326,3793
8.52,1,23.8,52.4,185,310,3792
8.53,1,23.7,50.3,173,326,3792
8.55,1,23.8,53.2,182,335,3792
8.57,1,23.8,47.3,183,327,3792
8.58,1,24.2,49.0,202,330,3792
8.60,1,23.9,50.2,194,302,3791
8.62,1,24.0,51.3,198,319,3791
8.63,1,23.7,52.1,198,313,3791
8.65,1,23.9,50.1,188,323,3791
8.67,1,23.7,49.6,202,316,3791
8.68,1,23.9,49.1,208,357,3790
8.70,1,23.9,51.4,198,305,3790
8.72,1,24.0,50.2,210,324,3790
8.73,1,23.9,50.0,208,320,3790
8.75,1,23.9,48.6,198,326,3790
8.77,1,24.0,51.3,218,310,3789
8.78,1,24.0,49.0,213,312,3789
8.80,1,24.3,50.9,218,298,3789
8.82,1,23.9,51.3,215,331,3788
8.83,1,24.1,50.3,222,309,3788
8.85,1,24.4,49.9,217,298,3788
8.87,1,24.1,50.4,236,306,3788
8.88,1,24.2,50.5,427,343,3788
8.90,1,24.1,51.4,232,324,3787
8.92,1,24.2,49.8,220,304,3787
8.93,1,24.1,47.4,229,322,3787
8.95,1,24.3,49.0,221,319,3787
8.97,1,24.3,50.1,223,306,3787
8.98,1,23.9,49.9,239,326,3786
9.00,1,23.9,49.0,245,313,3786
9.02,1,24.1,51.5,242,331,3786
9.03,1,24.0,47.9,242,318,3786
9.05,1,24.4,49.1,236,341,3786
9.07,1,23.9,48.9,248,343,3785
9.08,1,24.3,48.8,256,335,3785
9.10,1,24.0,48.2,242,338,3785
9.12,1,24.3,48.3,248,341,3785
9.13,1,24.3,49.0,235,303,3785
9.15,1,24.2,48.5,250,305,3784
9.17,1,24.2,48.6,251,345,3784
9.18,1,24.3,49.4,256,314,3784
9.20,1,24.2,49.2,259,317,3784
9.22,1,24.3,49.5,260,307,3783
9.23,1,24.3,48.4,254,327,3783
9.25,1,24.5,49.3,263,321,3783
9.27,1,24.6,47.9,265,303,3783
9.28,1,24.4,52.1,461,329,3783
9.30,1,24.1,49.6,270,324,3782
9.32,1,24.5,50.3,275,303,3782
9.33,1,24.4,48.6,274,343,3782
9.35,1,24.3,49.5,273,326,3782
9.37,1,24.3,49.2,269,309,3782
9.38,1,24.4,50.3,279,306,3781
9.40,1,24.4,49.2,281,289,3781
9.42,1,24.2,50.4,267,294,3781
9.43,1,24.4,47.3,285,293,3781
9.45,1,24.5,48.6,294,320,3781
9.47,1,24.5,51.1,291,310,3780
9.48,1,24.7,47.5,282,313,3780
9.50,1,24.1,49.2,297,310,3780
9.52,1,24.7,47.6,281,342,3780
9.53,1,24.1,50.4,293,319,3780
9.55,1,24.4,50.4,308,305,3779
9.57,1,24.4,47.0,299,318,3779
9.58,1,24.5,48.1,303,315,3779
9.60,1,24.7,49.0,301,326,3779
9.62,1,24.6,50.7,315,311,3778
9.63,1,24.7,49.1,305,292,3778
9.65,1,24.7,49.4,297,311,3778
9.67,1,24.6,47.5,305,306,3778
9.68,1,24.6,48.5,318,310,3778
9.70,1,24.5,49.1,315,320,3777
9.72,1,24.5,49.4,328,314,3777
9.73,1,24.4,48.2,313,324,3777
9.75,1,24.5,47.8,310,297,3777
9.77,1,24.9,48.3,324,302,3777
9.78,1,24.7,47.0,324,336,3776
9.80,1,24.5,46.3,332,330,3776
9.82,1,24.5,48.3,326,322,3776
9.83,1,24.7,46.9,310,322,3776
9.85,1,24.6,47.3,334,321,3776
9.87,1,24.6,48.3,322,315,3775
9.88,1,24.7,49.8,331,299,3775
9.90,1,24.9,48.4,339,319,3775
9.92,1,24.7,48.8,339,322,3775
9.93,1,24.7,46.8,345,316,3775
9.95,1,24.7,46.6,339,317,3774
9.97,1,24.7,47.4,366,311,3774
9.98,1,24.8,48.4,348,298,3774
10.00,1,24.7,47.5,332,309,3774
10.02,1,24.5,47.9,346,310,3773
10.03,1,24.9,44.7,344,313,3773
10.05,1,24.7,47.9,342,333,3773
10.07,1,24.6,46.4,359,316,3773
10.08,1,24.6,48.6,352,309,3773
10.10,1,24.7,48.8,363,327,3772
10.12,1,24.4,48.6,353,315,3772
10.13,1,24.7,48.4,368,306,3772
10.15,1,24.7,50.1,359,334,3772
10.17,1,24.6,49.4,358,314,3772
10.18,1,24.9,48.6,379,330,3771
10.20,1,24.8,47.1,357,281,3771
10.22,1,24.9,50.5,371,328,3771
10.23,1,24.8,45.2,378,302,3771
10.25,1,25.0,48.0,372,310,3771
10.27,1,25.0,46.4,361,306,3770
10.28,1,24.9,48.4,386,331,3770
10.30,1,24.8,48.1,386,354,3770
10.32,1,24.9,48.5,375,304,3770
10.33,1,24.8,47.9,365,304,3770
10.35,1,24.7,46.7,388,321,3769
10.37,1,24.6,47.6,383,328,3769
10.38,1,24.8,47.2,376,296,3769
10.40,1,25.1,44.8,369,312,3769
10.42,1,25.1,46.7,376,323,3768
10.43,1,25.0,47.4,375,336,3768
10.45,1,24.8,46.6,383,303,3768
10.47,1,25.0,47.5,385,322,3768
10.48,1,24.9,46.9,398,316,3768
10.50,1,25.1,46.4,387,328,3767
10.52,1,24.8,47.7,388,325,3767
10.53,1,25.2,46.2,394,345,3767
10.55,1,25.2,46.5,380,321,3767
10.57,1,25.0,47.6,403,336,3767
10.58,1,25.0,48.9,407,292,3766
10.60,1,25.1,46.7,391,301,3766
10.62,1,25.2,48.0,397,328,3766
10.63,1,25.1,49.3,406,313,3766
10.65,1,24.8,46.7,415,337,3766
10.67,1,25.1,46.0,406,308,3765
10.68,1,25.0,44.5,401,299,3765
10.70,1,25.1,46.9,419,312,3765
10.72,1,25.2,46.6,415,308,3765
10.73,1,25.2,46.2,412,341,3765
10.75,1,25.3,46.1,412,315,3764
10.77,1,25.4,46.3,408,347,3764
10.78,1,25.3,46.0,414,317,3764
10.80,1,25.3,48.7,410,304,3764
10.82,1,25.3,47.2,423,325,3763
10.83,1,25.6,46.2,423,312,3763
10.85,1,25.3,46.1,428,312,3763
10.87,1,25.0,44.2,428,313,3763
10.88,1,25.1,47.4,421,339,3763
10.90,1,25.2,45.3,429,298,3762
10.92,1,25.0,45.3,415,320,3762
10.93,1,25.1,47.6,413,353,3762
10.95,1,25.2,47.1,425,334,3762
10.97,1,25.3,45.8,435,341,3762
10.98,1,25.2,43.3,440,306,3761
11.00,1,25.1,47.3,427,323,3761
11.02,1,25.3,46.1,433,325,3761
